,UID,group,overpass,land_cover,mast,yast,theta,ncsa,mast_unc,yast_unc,theta_unc
123,EUR199516,weekend,D,rural_bare,288.6595154,14.49321747,-19.59616661,177,0.281758517,0.43690142,1.353187442
124,EUR199516,workday,N,urban,280.714325,7.897531033,-30.7297039,1894,0.071475901,0.103042349,0.725309968
125,EUR199516,workday,N,rural_bare,278.8621826,7.597566128,-34.98332977,704,0.122928686,0.155778795,1.362243414
126,EUR199516,weekend,N,urban,280.8256836,7.799361229,-29.84541893,792,0.112038963,0.159738645,1.167221069
127,EUR199516,weekend,N,rural_bare,279.234375,7.260057449,-33.89789581,298,0.185056716,0.233560726,2.154934406
128,EUR199517,workday,D,urban,290.9496765,15.37674713,-14.91038609,784,0.130164981,0.192285076,0.665600002
129,EUR199517,workday,D,rural_bare,289.2281189,14.6510334,-17.35238647,247,0.352432936,0.509874284,1.280562878
130,EUR199517,weekend,D,urban,290.4758606,14.64859772,-16.73673248,324,0.21266976,0.308059305,1.155175567
131,EUR199517,weekend,D,rural_bare,289.4985046,14.2189703,-17.73447609,111,0.439917088,0.646486759,1.799417496
132,EUR199517,workday,N,urban,279.9468689,7.684756279,-31.39096642,1786,0.074144237,0.106044568,0.777409256
133,EUR199517,workday,N,rural_bare,278.5688171,7.966224194,-35.96983337,345,0.178626388,0.207304791,1.967376232
134,EUR199517,weekend,N,urban,279.9506531,7.531959057,-31.36030006,732,0.120007172,0.175208598,1.267358303
135,EUR199517,weekend,N,rural_bare,278.5027771,8.040266991,-34.21282959,140,0.317241907,0.376916409,3.368485212
136,EUR199518,workday,D,urban,291.0831299,14.84094715,-15.21343422,720,0.136846602,0.197807312,0.726878524
137,EUR199518,workday,D,rural_bare,289.9115601,13.02678204,-18.12033653,304,0.240151122,0.341260612,1.168067932
138,EUR199518,weekend,D,urban,291.1094055,14.72436428,-12.67041588,319,0.195808858,0.294229448,1.024274826
139,EUR199518,weekend,D,rural_bare,290.3564758,12.42708302,-13.34545612,128,0.366124094,0.543803215,1.834079385
140,EUR199518,workday,N,urban,280.0406189,7.680270195,-30.03863907,1708,0.073675252,0.105273962,0.779990196
141,EUR199518,workday,N,rural_bare,279.5270081,7.268908978,-32.21105576,636,0.124359556,0.167467728,1.389163494
142,EUR199518,weekend,N,urban,280.0042725,7.493150234,-28.08497429,709,0.109439731,0.159083411,1.169064283
143,EUR199518,weekend,N,rural_bare,279.3809509,6.979338169,-30.63795662,272,0.185086131,0.24968563,2.207686424
144,EUR199519,workday,D,urban,291.6361694,18.32806206,-16.07654953,661,0.172773257,0.260146499,0.597997129
145,EUR199519,workday,D,rural_bare,290.3552551,15.96477222,-19.43848991,463,0.25897494,0.383386105,0.826886594
146,EUR199519,weekend,D,urban,291.8430481,17.58107185,-17.11053276,294,0.24565658,0.39614749,0.904874802
147,EUR199519,weekend,D,rural_bare,289.7685547,16.15099144,-19.67640495,203,0.352146804,0.564975441,1.200576663
148,EUR199519,workday,N,urban,280.8314819,10.58481312,-30.29830742,1154,0.111510001,0.149206683,0.859735787
149,EUR199519,workday,N,rural_bare,278.4796753,10.22165108,-31.53610039,613,0.164715201,0.197290316,1.330761075
150,EUR199519,weekend,N,urban,280.8061218,10.42641449,-31.10626411,484,0.163573772,0.215051949,1.313421607
151,EUR199519,weekend,N,rural_bare,278.5088196,9.96176815,-32.08932877,259,0.262881726,0.3054187,2.219875097
152,EUR199521,workday,D,urban,292.3251648,15.91762638,-14.99031353,680,0.129033789,0.188123897,0.637267947
153,EUR199521,workday,D,rural_bare,290.0619202,14.15028667,-18.55982971,225,0.414085269,0.571552336,1.303182244
154,EUR199521,weekend,D,urban,292.3884583,15.59664154,-13.83633137,271,0.2058983,0.313938528,1.017048597
155,EUR199521,weekend,D,rural_bare,291.3336182,12.44926929,-11.82101727,91,0.589271545,0.853950381,2.090348244
156,EUR199521,workday,N,urban,280.8808899,8.03527832,-29.98461151,1622,0.077269472,0.110877857,0.776799917
157,EUR199521,workday,N,rural_bare,279.1867676,8.17552948,-34.57423019,210,0.274780095,0.320458025,2.596689701
158,EUR199521,weekend,N,urban,280.9826355,7.974581242,-28.28212357,652,0.120868579,0.175433129,1.211553812
159,EUR199521,weekend,N,rural_bare,278.8201294,9.029334068,-30.96395111,78,0.460904568,0.56644237,3.958521843
160,EUR199522,workday,D,urban,292.5650024,14.62820625,-16.4828186,789,0.126136303,0.181428179,0.666279554
161,EUR199522,workday,D,rural_bare,292.0848389,11.34230995,-22.39745522,294,0.342154354,0.482551426,1.494390965
162,EUR199522,weekend,D,urban,292.5451965,14.55093765,-14.80782318,359,0.178629473,0.252150893,0.971147835
163,EUR199522,weekend,D,rural_bare,293.1263428,10.52907944,-16.14519501,134,0.542577863,0.771282852,2.288643599
164,EUR199522,workday,N,urban,281.6226501,7.739779949,-30.41838264,1646,0.071906492,0.102734879,0.754064381
